enabled	table	id	jp_text	source_png	replacement_png	ko_text	font_size
0	char	1	カリン	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-01.png			
0	char	2	アル	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-02.png			
0	char	3	アリス	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-03.png			
0	char	4	サーラ	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-04.png			
0	char	5	ラディッシュ	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-05.png			
0	char	6	ソフィア	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-06.png			
0	char	7	ルル	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-07.png			
0	char	8		tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-08.png			
0	char	9	???	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-09.png			
0	char	10	T.T.	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-10.png			
0	char	11	ソーン	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-11.png			
0	char	12	マクドガル	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-12.png			
0	char	13	ガストン	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-13.png			
0	char	14		tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-14.png			
0	char	15	マスター	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-15.png			
0	char	16	まっする親父	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-16.png			
0	char	17	ショップ姉ちゃん	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-17.png			
0	char	18	怒りのカリン	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-18.png			
0	char	19	困ったアリス	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-19.png			
0	char	20	カトリーヌ	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-20.png			
0	char	21	ベヒモス	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-21.png			
0	char	22	デュマ	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-22.png			
0	char	23	ジャン	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-23.png			
0	char	24	ドッペルゲンガー	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-24.png			
0	char	25	アルヴィース	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-25.png			
0	char	26	ソーン・ヴァイス	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-26.png			
0	char	27	ヒーちゃん	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-27.png			
0	char	28	コカちゃん	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-28.png			
0	char	29	ギルドマスター	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-29.png			
0	char	30		tmp\\SLPS-01903\\name-table-workflow\\masks\\name-char-30.png			
0	mon	0	魔法使い	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-00.png			
0	mon	1	剣士	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-01.png			
0	mon	2	ヒーラー	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-02.png			
0	mon	3	シャーマン	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-03.png			
0	mon	4	セイレーン	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-04.png			
0	mon	5	盗賊	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-05.png			
0	mon	6	精霊使い	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-06.png			
0	mon	7	NPC	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-07.png			
0	mon	8	宝箱	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-08.png			
0	mon	9	金	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-09.png			
0	mon	10	ブルースライム	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-10.png			
0	mon	11	グリーンスライム	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-11.png			
0	mon	12	アシッドスライム	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-12.png			
0	mon	13	グレイウーズ	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-13.png			
0	mon	14	マッドジェリー	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-14.png			
0	mon	15	白猫	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-15.png			
0	mon	16	黒猫	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-16.png			
0	mon	17	三毛猫	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-17.png			
0	mon	18	コソドロ	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-18.png			
0	mon	19	ゴロツキ	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-19.png			
0	mon	20	虎猫	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-20.png			
0	mon	21	ヒドラ	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-21.png			
0	mon	22	ハーピー	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-22.png			
0	mon	23	ベヒモス	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-23.png			
0	mon	24	アーマゴーレム	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-24.png			
0	mon	25	ロックゴーレム	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-25.png			
0	mon	26	ストーンゴーレム	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-26.png			
0	mon	27	ゴースト	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-27.png			
0	mon	28	スペクター	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-28.png			
0	mon	29	フェアリー	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-29.png			
0	mon	30	ピクシー	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-30.png			
0	mon	31	ネクロマンサー	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-31.png			
0	mon	32	デスウォリアー	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-32.png			
0	mon	33	グール	tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-33.png			
0	mon	34		tmp\\SLPS-01903\\name-table-workflow\\masks\\name-mon-34.png			
