enabled	resource_id	mask_pbm	source_note	ko_text	width	height	bytes_per_row	rows	data_offset	font_size	line_height	pad	threshold	bold
0	1151	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1151.pbm	1bpp UI mask resource 1151, 256x64, 32 bytes/row, DAT 0x2736800	1일째\n     「일을 주세요」	256	64	32	64	0	26	30	4	100	0
0	1152	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1152.pbm	1bpp UI mask resource 1152, 256x64, 32 bytes/row, DAT 0x2737000	2일째\n   「아빠는 걱정꾼」	256	64	32	64	0	26	30	4	100	0
0	1153	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1153.pbm	1bpp UI mask resource 1153, 256x64, 32 bytes/row, DAT 0x2737800	3일째\n     「소녀들 화남」	256	64	32	64	0	26	30	4	100	0
0	1154	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1154.pbm	1bpp UI mask resource 1154, 256x64, 32 bytes/row, DAT 0x2738000	3일째\n   「나 시집갈꺼야」	256	64	32	64	0	26	30	4	100	0
0	1155	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1155.pbm	1bpp UI mask resource 1155, 256x64, 32 bytes/row, DAT 0x2738800	4일째\n「사랑하는 카트린느」	256	64	32	64	0	24	30	4	100	0
1	1156	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1156.pbm	1bpp UI mask resource 1156, 256x64, 32 bytes/row, DAT 0x2739000	5일째\n  「생각을 노래로」	256	64	32	64	0	26	30	4	100	0
1	1157	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1157.pbm	1bpp UI mask resource 1157, 256x64, 32 bytes/row, DAT 0x2739800	6일째\n 「카트린느 역습!」	256	64	32	64	0	26	30	4	100	0
1	1158	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1158.pbm	1bpp UI mask resource 1158, 256x64, 32 bytes/row, DAT 0x273a000	7일째\n   「광산의 마수」	256	64	32	64	0	26	30	4	100	0
1	1159	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1159.pbm	1bpp UI mask resource 1159, 256x64, 32 bytes/row, DAT 0x273a800	8일째\n   「빛을 찾아서」	256	64	32	64	0	26	30	4	100	0
1	1160	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1160.pbm	1bpp UI mask resource 1160, 256x64, 32 bytes/row, DAT 0x273b000	9일째\n「영예는 누구의 손에」\n	256	64	32	64	0	24	30	4	100	0
1	1161	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1161.pbm	1bpp UI mask resource 1161, 256x64, 32 bytes/row, DAT 0x273b800	10일째\n 「남자는 강하게」	256	64	32	64	0	26	30	4	100	0
1	1162	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1162.pbm	1bpp UI mask resource 1162, 256x64, 32 bytes/row, DAT 0x273c000	11일째\n  「너는 누구냐?」	256	64	32	64	0	26	30	4	100	0
1	1163	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1163.pbm	1bpp UI mask resource 1163, 256x64, 32 bytes/row, DAT 0x273c800	12일째\n 「먼 훗날의 약속」\n	256	64	32	64	0	26	30	4	100	0
1	1164	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1164.pbm	1bpp UI mask resource 1164, 256x64, 32 bytes/row, DAT 0x273d000	13일째\n   「최후의 휴일」	256	64	32	64	0	26	30	4	100	0
1	1165	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1165.pbm	1bpp UI mask resource 1165, 256x64, 32 bytes/row, DAT 0x273d800	14일째\n   「해상의 결전」	256	64	32	64	0	26	30	4	100	0
1	1166	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1166.pbm	1bpp UI mask resource 1166, 256x64, 32 bytes/row, DAT 0x273e000	15일째\n    「암흑가」\n	256	64	32	64	0	26	30	4	100	0
1	1167	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1167.pbm	1bpp UI mask resource 1167, 256x64, 32 bytes/row, DAT 0x273e800	16일째\n 「단 하나의 진실」\n	256	64	32	64	0	26	30	4	100	0
1	1168	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\day_1151_1169-masks\\ui-mask-1168.pbm	1bpp UI mask resource 1168, 256x64, 32 bytes/row, DAT 0x273f000	17일째(Judgement Day)\n「시간을 관리하는 자」\n	256	64	32	64	0	22	30	4	100	0
