enabled	resource_id	mask_pbm	source_note	ko_text	width	height	bytes_per_row	rows	data_offset	font_size	line_height	pad	threshold	bold
1	1009	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1009.pbm	1bpp UI mask resource 1009, 288x64, 36 bytes/row, DAT 0x2698000		288	64	36	64	0	18	18	1	64	0
1	1010	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1010.pbm	1bpp UI mask resource 1010, 288x64, 36 bytes/row, DAT 0x2699000		288	64	36	64	0	18	18	1	64	0
1	1011	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1011.pbm	1bpp UI mask resource 1011, 288x64, 36 bytes/row, DAT 0x269a000		288	64	36	64	0	18	18	1	64	0
1	1012	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1012.pbm	1bpp UI mask resource 1012, 288x64, 36 bytes/row, DAT 0x269b000		288	64	36	64	0	18	18	1	64	0
1	1013	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1013.pbm	1bpp UI mask resource 1013, 288x64, 36 bytes/row, DAT 0x269c000		288	64	36	64	0	18	18	1	64	0
1	1014	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1014.pbm	1bpp UI mask resource 1014, 288x64, 36 bytes/row, DAT 0x269d000		288	64	36	64	0	18	18	1	64	0
1	1015	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1015.pbm	1bpp UI mask resource 1015, 288x64, 36 bytes/row, DAT 0x269e000		288	64	36	64	0	18	18	1	64	0
1	1016	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1016.pbm	1bpp UI mask resource 1016, 288x64, 36 bytes/row, DAT 0x269f000		288	64	36	64	0	18	18	1	64	0
1	1017	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1017.pbm	1bpp UI mask resource 1017, 288x64, 36 bytes/row, DAT 0x26a0000		288	64	36	64	0	18	18	1	64	0
1	1018	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1018.pbm	1bpp UI mask resource 1018, 288x64, 36 bytes/row, DAT 0x26a1000		288	64	36	64	0	18	18	1	64	0
1	1019	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1019.pbm	1bpp UI mask resource 1019, 288x64, 36 bytes/row, DAT 0x26a2000		288	64	36	64	0	18	18	1	64	0
1	1020	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1020.pbm	1bpp UI mask resource 1020, 288x64, 36 bytes/row, DAT 0x26a3000		288	64	36	64	0	18	18	1	64	0
1	1021	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1021.pbm	1bpp UI mask resource 1021, 288x64, 36 bytes/row, DAT 0x26a4000		288	64	36	64	0	18	18	1	64	0
1	1022	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1022.pbm	1bpp UI mask resource 1022, 288x64, 36 bytes/row, DAT 0x26a5000		288	64	36	64	0	18	18	1	64	0
1	1023	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1023.pbm	1bpp UI mask resource 1023, 288x64, 36 bytes/row, DAT 0x26a6000		288	64	36	64	0	18	18	1	64	0
1	1024	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1024.pbm	1bpp UI mask resource 1024, 288x64, 36 bytes/row, DAT 0x26a7000		288	64	36	64	0	18	18	1	64	0
1	1025	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1025.pbm	1bpp UI mask resource 1025, 288x64, 36 bytes/row, DAT 0x26a8000		288	64	36	64	0	18	18	1	64	0
1	1026	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1026.pbm	1bpp UI mask resource 1026, 288x64, 36 bytes/row, DAT 0x26a9000		288	64	36	64	0	18	18	1	64	0
1	1027	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1027.pbm	1bpp UI mask resource 1027, 288x64, 36 bytes/row, DAT 0x26aa000		288	64	36	64	0	18	18	1	64	0
1	1028	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1028.pbm	1bpp UI mask resource 1028, 288x64, 36 bytes/row, DAT 0x26ab000		288	64	36	64	0	18	18	1	64	0
1	1029	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1029.pbm	1bpp UI mask resource 1029, 288x64, 36 bytes/row, DAT 0x26ac000		288	64	36	64	0	18	18	1	64	0
1	1030	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1030.pbm	1bpp UI mask resource 1030, 288x64, 36 bytes/row, DAT 0x26ad000		288	64	36	64	0	18	18	1	64	0
1	1031	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1031.pbm	1bpp UI mask resource 1031, 288x64, 36 bytes/row, DAT 0x26ae000		288	64	36	64	0	18	18	1	64	0
1	1032	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\menu_1009_1080-masks\\ui-mask-1032.pbm	1bpp UI mask resource 1032, 288x64, 36 bytes/row, DAT 0x26af000		288	64	36	64	0	18	18	1	64	0
