enabled	resource_id	mask_pbm	source_note	ko_text	width	height	bytes_per_row	rows	data_offset	font_size	line_height	pad	threshold	bold
1	1151	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1151.pbm	1bpp UI mask resource 1151, 256x64, 32 bytes/row, DAT 0x2736800	1일째\n      「일을 주세요」	256	64	32	64	0	26	32	3	64	0
0	1152	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1152.pbm	1bpp UI mask resource 1152, 256x64, 32 bytes/row, DAT 0x2737000		256	64	32	64	0	26	32	3	64	0
0	1153	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1153.pbm	1bpp UI mask resource 1153, 256x64, 32 bytes/row, DAT 0x2737800		256	64	32	64	0	26	32	3	64	0
0	1154	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1154.pbm	1bpp UI mask resource 1154, 256x64, 32 bytes/row, DAT 0x2738000		256	64	32	64	0	26	32	3	64	0
0	1155	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1155.pbm	1bpp UI mask resource 1155, 256x64, 32 bytes/row, DAT 0x2738800		256	64	32	64	0	26	32	3	64	0
0	1156	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1156.pbm	1bpp UI mask resource 1156, 256x64, 32 bytes/row, DAT 0x2739000		256	64	32	64	0	26	32	3	64	0
0	1157	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1157.pbm	1bpp UI mask resource 1157, 256x64, 32 bytes/row, DAT 0x2739800		256	64	32	64	0	26	32	3	64	0
0	1158	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1158.pbm	1bpp UI mask resource 1158, 256x64, 32 bytes/row, DAT 0x273a000		256	64	32	64	0	26	32	3	64	0
0	1159	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1159.pbm	1bpp UI mask resource 1159, 256x64, 32 bytes/row, DAT 0x273a800		256	64	32	64	0	26	32	3	64	0
0	1160	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1160.pbm	1bpp UI mask resource 1160, 256x64, 32 bytes/row, DAT 0x273b000		256	64	32	64	0	26	32	3	64	0
0	1161	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1161.pbm	1bpp UI mask resource 1161, 256x64, 32 bytes/row, DAT 0x273b800		256	64	32	64	0	26	32	3	64	0
0	1162	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1162.pbm	1bpp UI mask resource 1162, 256x64, 32 bytes/row, DAT 0x273c000		256	64	32	64	0	26	32	3	64	0
0	1163	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1163.pbm	1bpp UI mask resource 1163, 256x64, 32 bytes/row, DAT 0x273c800		256	64	32	64	0	26	32	3	64	0
0	1164	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1164.pbm	1bpp UI mask resource 1164, 256x64, 32 bytes/row, DAT 0x273d000		256	64	32	64	0	26	32	3	64	0
0	1165	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1165.pbm	1bpp UI mask resource 1165, 256x64, 32 bytes/row, DAT 0x273d800		256	64	32	64	0	26	32	3	64	0
0	1166	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1166.pbm	1bpp UI mask resource 1166, 256x64, 32 bytes/row, DAT 0x273e000		256	64	32	64	0	26	32	3	64	0
0	1167	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1167.pbm	1bpp UI mask resource 1167, 256x64, 32 bytes/row, DAT 0x273e800		256	64	32	64	0	26	32	3	64	0
0	1168	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1168.pbm	1bpp UI mask resource 1168, 256x64, 32 bytes/row, DAT 0x273f000		256	64	32	64	0	26	32	3	64	0
0	1169	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\masks\\ui-mask-1169.pbm	1bpp UI mask resource 1169, 256x64, 32 bytes/row, DAT 0x273f800		256	64	32	64	0	26	32	3	64	0
