enabled	resource_id	mask_pbm	source_note	ko_text	width	height	bytes_per_row	rows	data_offset	font_size	line_height	pad	threshold	bold
1	1081	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1081.pbm	1bpp UI mask resource 1081, 288x64, 36 bytes/row, DAT 0x26e0000	#NPC	288	64	36	64	0	14	15	2	64	0
1	1082	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1082.pbm	1bpp UI mask resource 1082, 288x64, 36 bytes/row, DAT 0x26e1000	#보물상자	288	64	36	64	0	14	15	2	64	0
1	1083	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1083.pbm	1bpp UI mask resource 1083, 288x64, 36 bytes/row, DAT 0x26e2000	#금화	288	64	36	64	0	14	15	2	64	0
1	1084	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1084.pbm	1bpp UI mask resource 1084, 288x64, 36 bytes/row, DAT 0x26e3000	일반적인 슬라임\n약하기 때문에 초보자\n연습용으로 좋다	288	64	36	64	0	14	15	2	64	0
1	1085	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1085.pbm	1bpp UI mask resource 1085, 288x64, 36 bytes/row, DAT 0x26e4000	조금 강한 슬라임\n그래봤자 슬라임이다	288	64	36	64	0	14	15	2	64	0
1	1086	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1086.pbm	1bpp UI mask resource 1086, 288x64, 36 bytes/row, DAT 0x26e5000	강하지는 않지만\n독이 있기 때문에\n상당히 조심해야 한다	288	64	36	64	0	14	15	2	64	0
1	1087	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1087.pbm	1bpp UI mask resource 1015, 288x64, 36 bytes/row, DAT 0x269e000	슬라임 치고는 강하지만\n특수능력 같은건 없다	288	64	36	64	0	14	15	2	64	0
1	1088	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1088.pbm	1bpp UI mask resource 1088, 288x64, 36 bytes/row, DAT 0x26e7000	슬라임 주제에\n수면마법을 사용한다\n상대가 수면에 빠지면\n신나게 두들겨 팬다	288	64	36	64	0	14	15	2	64	0
1	1089	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1089.pbm	1bpp UI mask resource 1089, 288x64, 36 bytes/row, DAT 0x26e8000	하얀 털을 가진 고양이\n부자가 키우는 고양이로\n우아하고 예쁘게 생겼다\n매혹에 주의	288	64	36	64	0	14	15	2	64	0
1	1090	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1090.pbm	1bpp UI mask resource 1090, 288x64, 36 bytes/row, DAT 0x26e9000	검은 털을 가진 고양이\n고양이 중에서\n가장 강하다	288	64	36	64	0	14	15	2	64	0
1	1091	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1091.pbm	1bpp UI mask resource 1091, 288x64, 36 bytes/row, DAT 0x26ea000	삼색털을 가진 고양이\n야생이라 매우 강하다	288	64	36	64	0	14	15	2	64	0
1	1092	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1092.pbm	1bpp UI mask resource 1092, 288x64, 36 bytes/row, DAT 0x26eb000	민가에 침입해 값비싼\n물건을 훔친다\n이름처럼 그냥 좀도둑	288	64	36	64	0	14	15	2	64	0
1	1093	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1093.pbm	1bpp UI mask resource 1093, 288x64, 36 bytes/row, DAT 0x26ec000	뒷골목을 배회하다가\n만만한 사람이 보이면\n협박해서 돈을 뜯어낸다	288	64	36	64	0	14	15	2	64	0
1	1094	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1094.pbm	1bpp UI mask resource 1094, 288x64, 36 bytes/row, DAT 0x26ed000	노란털을 가진 고양이\n조금 강하다	288	64	36	64	0	14	15	2	64	0
1	1095	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1095.pbm	1bpp UI mask resource 1095, 288x64, 36 bytes/row, DAT 0x26ee000	머리가 두 개 달린\n물속에서 사는 파충류\n어금니에 독이 있다	288	64	36	64	0	14	15	2	64	0
1	1096	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1096.pbm	1bpp UI mask resource 1096, 288x64, 36 bytes/row, DAT 0x26ef000	머리와 몸통은 인간\n나머지는 독수리의\n신체를 가진 몬스터\n집단으로 사냥한다	288	64	36	64	0	14	15	2	64	0
1	1097	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1097.pbm	1bpp UI mask resource 1097, 288x64, 36 bytes/row, DAT 0x26f0000	광산의 신\n땅 속에 사는 거대한 몬스터\n화가 나면 지진을 일으킨다	288	64	36	64	0	14	15	2	64	0
1	1098	F:\\workspace-server\\create-retro-game-kr-patch-main\\tmp\\SLPS-01903\\ui-mask-workflow\\unit_help_1081_1147-masks\\ui-mask-1098.pbm	1bpp UI mask resource 1098, 288x64, 36 bytes/row, DAT 0x26f1000	가장 강력한 골렘\n최첨단 기술을 이용하여\n하이테크 합금으로\n만들었다	288	64	36	64	0	14	15	2	64	0
